objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E14000530,Aldershot,484884,155126,-0.7841,51.28895187,52978751.9110245,36261.4072516633
2,E14000531,Aldridge-Brownhills,404723,302568,-1.93166006,52.62086868,42857272.0356538,33431.1047726832
3,E14000532,Altrincham and Sale West,374132,389051,-2.39049006,53.3976593,53374642.205386,38251.2827800238
4,E14000533,Amber Valley,440478,349675,-1.39769995,53.04283142,127875025.210918,50232.2581830386
5,E14000534,Arundel and South Downs,510689,115542,-0.42631,50.92871094,647329682.28954,188575.899194497
6,E14000535,Ashfield,450035,355939,-1.25419998,53.09833145,107242176.573255,52507.8714408343
7,E14000536,Ashford,595733,138824,0.79516703,51.11526108,506490482.409188,126064.464737767
8,E14000537,Ashton-under-Lyne,392394,399819,-2.11611009,53.49502945,29072308.1719291,29491.0376070755
9,E14000538,Aylesbury,482160,199541,-0.81282997,51.68862152,186271485.91255,117427.278642681
10,E14000539,Banbury,441108,233685,-1.40260005,52.00009918,466678951.032409,160510.878114408
11,E14000540,Barking,546099,184533,0.105346,51.54079056,20203252.4145678,23102.190336014
12,E14000541,Barnsley Central,433719,408537,-1.49228001,53.57236862,48020932.1796409,38923.3739390559
13,E14000542,Barnsley East,439730,404883,-1.40198004,53.53910828,86357349.1902602,50100.0860949459
14,E14000543,Barrow and Furness,325384,484663,-3.14672995,54.25218964,281217715.75367,143541.417354942
15,E14000544,Basildon and Billericay,569070,192467,0.440099,51.60565948,62768225.3929149,33368.8136005504
16,E14000545,Basingstoke,465234,151979,-1.06641996,51.26324081,58460891.2198693,41291.4107065786
34,E14000563,"Birmingham, Hodge Hill",410878,287656,-1.84123003,52.48672867,20134075.2634349,26381.8325121384
17,E14000546,Bassetlaw,469769,385126,-0.95315999,53.35842896,479335809.673172,123851.559345767
18,E14000547,Bath,374693,164413,-2.36499,51.37818909,29055666.5100385,25159.5084245163
19,E14000548,Batley and Spen,420570,425305,-1.68973994,53.7237587,53223025.8676067,38159.6808117515
20,E14000549,Battersea,527493,175641,-0.16599999,51.46538162,11211459.0706278,17810.1457356829
21,E14000550,Beaconsfield,498198,185455,-0.58484,51.55944061,175929435.607931,89663.9719229973
